"GROUP","METRIC","NAME","MODEL","Timepoint","N","MIN","MED","MAX","MEAN","SD"
"ABG","LAC","LAC
(mmol/L)","B-B","EOR",8,6.9,11.6,16,11.7125,2.95317625616894
"ABG","LAC","LAC
(mmol/L)","B-B","EOS",8,7.9,12.75,19,13.2625,3.73551966168793
"ABG","LAC","LAC
(mmol/L)","B-PRC","EOR",8,7.1,13.05,24,14.725,6.50203264921275
"ABG","LAC","LAC
(mmol/L)","B-PRC","EOS",8,4.6,11.25,25,13.4125,7.43052343858954
"MAP","MAP","MAP
(mmHg)","B-B","EOR",8,59,64.5,77,65.375,6.82301776551779
"MAP","MAP","MAP
(mmHg)","B-B","EOS",8,25,45.5,70,46,14.3527000944073
"MAP","MAP","MAP
(mmHg)","B-PRC","EOR",8,41,47,61,47.625,6.61032741786884
"MAP","MAP","MAP
(mmHg)","B-PRC","EOS",8,22,42.5,90,44.375,20.9757513061426
