"GROUP","METRIC","NAME","MODEL","Timepoint","N","MIN","MED","MAX","MEAN","SD"
"ABG","LAC","LAC
(mmol/L)","B-B","EOR",13,3.8,10.9,17,10.5,4.08799054141111
"ABG","LAC","LAC
(mmol/L)","B-B","EOS",13,4.8,10.7,17,11.0615384615385,3.95380375114447
"ABG","LAC","LAC
(mmol/L)","B-LR","EOR",15,4.7,9.4,13.3,9.69333333333333,2.23653643790913
"ABG","LAC","LAC
(mmol/L)","B-LR","EOS",15,3,7.3,12.7,7.26,2.64083320185126
"MAP","MAP","MAP
(mmHg)","B-B","EOR",14,25,69.5,97,66.6428571428571,18.041009450084
"MAP","MAP","MAP
(mmHg)","B-B","EOS",14,23,36,65,41,13.7840487520902
"MAP","MAP","MAP
(mmHg)","B-LR","EOR",15,38,52,79,54.5333333333333,12.6200898042235
"MAP","MAP","MAP
(mmHg)","B-LR","EOS",15,29,45,69,46.3333333333333,12.3731660497723
