"METRIC","MODEL","ID","AUC","TIMERANGE","LAST_TIME","QUANT25","QUANT75","IQR","OUTLIER","METHOD"
"LAC","B-B","B-B 03",-1.61612903225806,"AUC EOS
to EOR",48,-0.3334785455278,0.117056074766356,0.450534620294156,"NO","REL AUC"
"LAC","B-B","B-B 04",0.260937499999999,"AUC EOS
to EOR",48,-0.3334785455278,0.117056074766356,0.450534620294156,"NO","REL AUC"
"LAC","B-B","B-B 07",-0.228767123287671,"AUC EOS
to EOR",48,-0.3334785455278,0.117056074766356,0.450534620294156,"NO","REL AUC"
"LAC","B-B","B-B 09",-0.0888297872340422,"AUC EOS
to EOR",48,-0.3334785455278,0.117056074766356,0.450534620294156,"NO","REL AUC"
"LAC","B-B","B-B 10",0.156074766355141,"AUC EOS
to EOR",48,-0.3334785455278,0.117056074766356,0.450534620294156,"NO","REL AUC"
"LAC","B-B","B-B 11",-0.826732673267327,"AUC EOS
to EOR",48,-0.3334785455278,0.117056074766356,0.450534620294156,"NO","REL AUC"
"LAC","B-B","B-B 13",0.2672,"AUC EOS
to EOR",48,-0.3334785455278,0.117056074766356,0.450534620294156,"NO","REL AUC"
"LAC","B-B","B-B 15",-0.167,"AUC EOS
to EOR",0,-0.3334785455278,0.117056074766356,0.450534620294156,"NO","REL AUC"
"LAC","B-B","B-B 16",-0.368382352941176,"AUC EOS
to EOR",48,-0.3334785455278,0.117056074766356,0.450534620294156,"NO","REL AUC"
"LAC","B-B","B-B 17",0,"AUC EOS
to EOR",48,-0.3334785455278,0.117056074766356,0.450534620294156,"NO","REL AUC"
"LAC","B-EM","B-EM 05",-1.5548275862069,"AUC EOS
to EOR",48,-1.13935786914235,-0.308418435013262,0.830939434129089,"NO","REL AUC"
"LAC","B-EM","B-EM 06",0.107051282051283,"AUC EOS
to EOR",48,-1.13935786914235,-0.308418435013262,0.830939434129089,"NO","REL AUC"
"LAC","B-LR","B-LR 01",1.33008849557522,"AUC EOS
to EOR",5,1.63921091445428,4.57149371069182,2.93228279623755,"NO","REL AUC"
"LAC","B-LR","B-LR 02",2.4171052631579,"AUC EOS
to EOR",24,1.63921091445428,4.57149371069182,2.93228279623755,"NO","REL AUC"
"LAC","B-LR","B-LR 03",4.10873015873016,"AUC EOS
to EOR",48,1.63921091445428,4.57149371069182,2.93228279623755,"NO","REL AUC"
"LAC","B-LR","B-LR 04",4.73166666666667,"AUC EOS
to EOR",48,1.63921091445428,4.57149371069182,2.93228279623755,"NO","REL AUC"
"LAC","B-LR","B-LR 05",4.41132075471698,"AUC EOS
to EOR",48,1.63921091445428,4.57149371069182,2.93228279623755,"NO","REL AUC"
"LAC","B-LR","B-LR 06",1.94833333333333,"AUC EOS
to EOR",48,1.63921091445428,4.57149371069182,2.93228279623755,"NO","REL AUC"
"LAC","B-LR","B-LR 07",2.05890410958904,"AUC EOS
to EOR",48,1.63921091445428,4.57149371069182,2.93228279623755,"NO","REL AUC"
"LAC","B-LR","B-LR 08",1.97022471910112,"AUC EOS
to EOR",48,1.63921091445428,4.57149371069182,2.93228279623755,"NO","REL AUC"
"LAC","B-LR","B-LR 09",3.40816326530612,"AUC EOS
to EOR",48,1.63921091445428,4.57149371069182,2.93228279623755,"NO","REL AUC"
"LAC","B-LR","B-LR 13",0.394488188976379,"AUC EOS
to EOR",48,1.63921091445428,4.57149371069182,2.93228279623755,"NO","REL AUC"
"LAC","B-LR","B-LR 14",5.18275862068966,"AUC EOS
to EOR",48,1.63921091445428,4.57149371069182,2.93228279623755,"NO","REL AUC"
"LAC","B-LR","B-LR 15",12.2585106382979,"AUC EOS
to EOR",24,1.63921091445428,4.57149371069182,2.93228279623755,"NO","REL AUC"
"LAC","B-LR","B-LR 16",1.07051282051282,"AUC EOS
to EOR",24,1.63921091445428,4.57149371069182,2.93228279623755,"NO","REL AUC"
"LAC","B-LR","B-LR 17",5.89411764705882,"AUC EOS
to EOR",24,1.63921091445428,4.57149371069182,2.93228279623755,"NO","REL AUC"
"LAC","B-LR","B-LR 20",1.08913043478261,"AUC EOS
to EOR",24,1.63921091445428,4.57149371069182,2.93228279623755,"NO","REL AUC"
"MAP","B-B","B-B 03",12.6515151515152,"AUC EOS
to EOR",48,4.26796140524493,8.97110837438424,4.70314696913931,"NO","REL AUC"
"MAP","B-B","B-B 04",13.36,"AUC EOS
to EOR",48,4.26796140524493,8.97110837438424,4.70314696913931,"NO","REL AUC"
"MAP","B-B","B-B 06",5.76547619047619,"AUC EOS
to EOR",48,4.26796140524493,8.97110837438424,4.70314696913931,"NO","REL AUC"
"MAP","B-B","B-B 07",4.26382978723404,"AUC EOS
to EOR",48,4.26796140524493,8.97110837438424,4.70314696913931,"NO","REL AUC"
"MAP","B-B","B-B 09",0.927777777777778,"AUC EOS
to EOR",48,4.26796140524493,8.97110837438424,4.70314696913931,"NO","REL AUC"
"MAP","B-B","B-B 10",4.27209302325581,"AUC EOS
to EOR",48,4.26796140524493,8.97110837438424,4.70314696913931,"NO","REL AUC"
"MAP","B-B","B-B 11",7.48620689655173,"AUC EOS
to EOR",48,4.26796140524493,8.97110837438424,4.70314696913931,"NO","REL AUC"
"MAP","B-B","B-B 13",9.30428571428572,"AUC EOS
to EOR",48,4.26796140524493,8.97110837438424,4.70314696913931,"NO","REL AUC"
