"","METRIC","TIMERANGE","ES","VJUST","MEASURE"
"68","MAP","AUC EOS
to 3rd Bleed",0.20662146789841,-0.3,"EM"
"69","MAP","AUC EOS
to 48 hr",0.186156640210704,-0.3,"EM"
"70","MAP","AUC EOS
to 4th Bleed",0.337256579952921,-0.3,"EM"
"71","MAP","AUC EOS
to EOB",0.249104399718647,-0.3,"EM"
"72","MAP","AUC EOS
to EOR",-0.391804018245305,1.5,"EM"
"73","LAC","AUC EOS
to 1 hr",0,1.5,"LR"
"74","LAC","AUC EOS
to 1st Bleed",0,1.5,"LR"
"75","LAC","AUC EOS
to 24 hr",0,1.5,"LR"
"76","LAC","AUC EOS
to 2nd Bleed",0,1.5,"LR"
"77","LAC","AUC EOS
to 3rd Bleed",0,1.5,"LR"
"78","LAC","AUC EOS
to 48 hr",0,1.5,"LR"
"79","LAC","AUC EOS
to 4th Bleed",0,1.5,"LR"
"80","LAC","AUC EOS
to EOB",0,1.5,"LR"
"81","LAC","AUC EOS
to EOR",0,1.5,"LR"
"82","MAP","AUC EOS
to 1 hr",0,1.5,"LR"
"83","MAP","AUC EOS
to 1st Bleed",0,1.5,"LR"
"84","MAP","AUC EOS
to 24 hr",0,1.5,"LR"
"85","MAP","AUC EOS
to 2nd Bleed",0,1.5,"LR"
"86","MAP","AUC EOS
to 3rd Bleed",0,1.5,"LR"
"87","MAP","AUC EOS
to 48 hr",0,1.5,"LR"
"88","MAP","AUC EOS
to 4th Bleed",0,1.5,"LR"
"89","MAP","AUC EOS
to EOB",0,1.5,"LR"
"90","MAP","AUC EOS
to EOR",0,1.5,"LR"
