"METRIC","MODEL","TIMERANGE","MEAN","SD","n"
"LAC","B-B","AUC EOS
to 1 hr",-327.503255143698,54.0872188954186,9
"LAC","B-B","AUC EOS
to 1st Bleed",-24.5220493811671,8.62063209287637,9
"LAC","B-B","AUC EOS
to 24 hr",-1939.19447075524,117.02138009572,8
"LAC","B-B","AUC EOS
to 2nd Bleed",-91.4667140007912,22.1172682365547,9
"LAC","B-B","AUC EOS
to 3rd Bleed",-113.136092621845,25.9094766313504,9
"LAC","B-B","AUC EOS
to 48 hr",-3627.15127991823,644.87066589759,9
"LAC","B-B","AUC EOS
to 4th Bleed",-129.839583563073,53.2397166151509,9
"LAC","B-B","AUC EOS
to EOB",-321.894145887177,51.5615021568959,9
"LAC","B-B","AUC EOS
to EOR",-0.261162870263314,0.577442902542302,10
"LAC","B-EM","AUC EOS
to 1 hr",-60.0541268788683,240.100317651336,2
"LAC","B-EM","AUC EOS
to 1st Bleed",-22.0833045977011,17.7836949085209,2
"LAC","B-EM","AUC EOS
to 24 hr",-857.642544208665,937.450775831327,2
"LAC","B-EM","AUC EOS
to 2nd Bleed",-55.1447546419098,43.6890613793119,2
"LAC","B-EM","AUC EOS
to 3rd Bleed",-63.429458443855,100.732759624635,2
"LAC","B-EM","AUC EOS
to 48 hr",-1286.2367086649,3175.35933562056,2
"LAC","B-EM","AUC EOS
to 4th Bleed",-56.7008996463307,174.619478811749,2
"LAC","B-EM","AUC EOS
to EOB",-60.0541268788683,240.100317651336,2
"LAC","B-EM","AUC EOS
to EOR",-0.723888152077807,1.17512581725598,2
"LAC","B-LR","AUC EOS
to 1 hr",-56.2231195692091,96.6557990763128,14
"LAC","B-LR","AUC EOS
to 1st Bleed",10.9656765722251,25.4143192605769,15
"LAC","B-LR","AUC EOS
to 24 hr",-545.41051456097,775.428228008003,14
"LAC","B-LR","AUC EOS
to 2nd Bleed",-11.5421920651617,47.1929852380655,15
"LAC","B-LR","AUC EOS
to 3rd Bleed",-30.305842287616,65.1744449413588,15
"LAC","B-LR","AUC EOS
to 48 hr",-2352.78032867406,820.954801585468,9
"LAC","B-LR","AUC EOS
to 4th Bleed",-47.5970569944194,76.5767588853416,15
"LAC","B-LR","AUC EOS
to EOB",-55.5425812144477,93.1771443660754,15
"LAC","B-LR","AUC EOS
to EOR",3.48493700776631,2.95275652760648,15
"MAP","B-B","AUC EOS
to 1 hr",403.808313286141,157.598034498663,10
"MAP","B-B","AUC EOS
to 1st Bleed",81.5886974518833,40.0414862643376,10
"MAP","B-B","AUC EOS
to 24 hr",2421.18241054297,824.874328661427,10
"MAP","B-B","AUC EOS
to 2nd Bleed",150.844611175076,66.7121239236133,10
"MAP","B-B","AUC EOS
to 3rd Bleed",185.7624521993,91.0119608888443,10
"MAP","B-B","AUC EOS
to 48 hr",5093.149463754,1868.23768410519,10
"MAP","B-B","AUC EOS
to 4th Bleed",222.280366908704,128.677847132039,10
"MAP","B-B","AUC EOS
to EOB",398.259436617056,156.263996925905,10
"MAP","B-B","AUC EOS
to EOR",6.80158406857483,4.15992074229737,11
"MAP","B-EM","AUC EOS
to 1 hr",165.279166666667,330.969185676377,2
"MAP","B-EM","AUC EOS
to 1st Bleed",7.29305555555556,53.5279833358216,2
"MAP","B-EM","AUC EOS
to 24 hr",745.834722222222,1525.19397168032,2
"MAP","B-EM","AUC EOS
to 2nd Bleed",29.5152777777778,126.202846957772,2
"MAP","B-EM","AUC EOS
to 3rd Bleed",76.7375,196.913525076427,2
"MAP","B-EM","AUC EOS
to 48 hr",1912.50138888889,3929.35702771459,2
"MAP","B-EM","AUC EOS
to 4th Bleed",124.306944444444,265.168971315962,2
"MAP","B-EM","AUC EOS
to EOB",165.279166666667,330.969185676377,2
"MAP","B-EM","AUC EOS
to EOR",0.695833333333333,1.96811387430256,2
"MAP","B-LR","AUC EOS
to 1 hr",124.019681898954,165.631296814964,14
"MAP","B-LR","AUC EOS
to 1st Bleed",16.8643891005514,22.817838477533,15
"MAP","B-LR","AUC EOS
to 24 hr",757.070523084782,968.942599179611,14
"MAP","B-LR","AUC EOS
to 2nd Bleed",33.8173691759079,50.0512438200672,15
"MAP","B-LR","AUC EOS
to 3rd Bleed",58.937959438472,86.145649542474,15
"MAP","B-LR","AUC EOS
to 48 hr",1549.00187351207,1952.65403890718,10
"MAP","B-LR","AUC EOS
to 4th Bleed",83.406746230438,121.273240153582,15
"MAP","B-LR","AUC EOS
to EOB",124.019681898954,165.631296814964,14
"MAP","B-LR","AUC EOS
to EOR",1.6595461294611,2.45968073641448,15
