"METRIC","NAME","MODEL","ID","PEAK80","T_CROSS","CENSORED","QUANT25","QUANT75","IQR","OUTLIER","METHOD"
"LAC","LAC
(mmol/L)","B-LR","B-LR 02",1.36,24,"YES",9.13529411764706,24,14.8647058823529,"NO","CROSS"
"LAC","LAC
(mmol/L)","B-LR","B-LR 15",0.54,0.984782608695652,"NO",9.13529411764706,24,14.8647058823529,"NO","CROSS"
"LAC","LAC
(mmol/L)","B-LR","B-LR 16",1.34,24,"YES",9.13529411764706,24,14.8647058823529,"NO","CROSS"
"LAC","LAC
(mmol/L)","B-LR","B-LR 17",0.78,24,"YES",9.13529411764706,24,14.8647058823529,"NO","CROSS"
"LAC","LAC
(mmol/L)","B-LR","B-LR 20",1.16,9.13529411764706,"NO",9.13529411764706,24,14.8647058823529,"NO","CROSS"
"MAP","MAP
(mmHg)","B-LR","B-LR 15",-7.2,1.65454545454545,"NO",1.19915909090909,24,22.8008409090909,"NO","CROSS"
"MAP","MAP
(mmHg)","B-LR","B-LR 16",-10,24,"YES",1.19915909090909,24,22.8008409090909,"NO","CROSS"
"MAP","MAP
(mmHg)","B-LR","B-LR 17",0,-0.167,"NO",1.19915909090909,24,22.8008409090909,"NO","CROSS"
"MAP","MAP
(mmHg)","B-LR","B-LR 20",-6.8,24,"YES",1.19915909090909,24,22.8008409090909,"NO","CROSS"
