"METHOD","METRIC","MODEL","MEAN","SD","n","NAME"
"CROSS","LAC","B-LR",16.4240153452685,10.7666382299005,5,"LAC
 %Change from EOS"
"CROSS","MAP","B-LR",12.3718863636364,13.4475663335072,4,"MAP
 %Change from EOS"
